Wall time,Step,Value
1512138702.4127557,114279,19.0
1512139617.104461,114555,24.0
1512139783.990812,114605,18.0
1512140983.252648,114965,19.0
1512141023.496375,114977,19.0
1512141830.7547185,115225,24.0
1512141850.7875159,115231,15.0
1512142185.9815686,115336,22.0
1512142700.9213953,115501,14.0
1512142989.4066322,115588,23.0
1512144073.052246,115912,17.0
1512144789.3460128,116129,5.0
1512145028.1899042,116171,5.0
1512145267.7939808,116243,6.0
1512145403.7055702,116283,5.0
1512145779.004926,116397,9.0
1512146017.612099,116473,6.0
1512146067.1709707,116489,7.0
1512146116.4321675,116506,6.0
1512146483.3173249,116614,8.0
1512148085.1961808,117092,24.0
1512148713.6096404,117284,11.0
1512149092.7614014,117402,22.0
1512149808.4932344,117620,24.0
1512149901.397816,117649,35.0
1512151440.415401,118110,22.0
1512152284.5127578,118368,24.0
1512152387.7432961,118396,24.0
1512152586.8768907,118457,25.0
1512153590.5388415,118761,27.0
1512154134.652749,118929,21.0
1512155800.8810828,119439,25.0
1512156810.2850375,119752,10.0
1512158637.0392587,120313,31.0
1512159666.727437,120652,25.0
1512159667.2389317,120651,19.0
1512160111.2969723,120792,5.0
1512160210.5077176,120822,6.0
1512160342.8910658,120862,8.0
1512160720.4735568,120976,11.0
1512161771.2863867,121294,7.0
1512161922.4540963,121337,20.0
1512163020.6599941,121666,6.0
1512163123.108163,121696,4.0
1512164391.9618287,122081,24.0
1512164427.7408273,122093,19.0
1512164769.1914117,122198,36.0
1512165807.186959,122527,24.0
1512167546.031193,123068,9.0
1512167616.401478,123091,23.0
1512167734.5879805,123125,9.0
1512169124.1450274,123562,16.0
1512169340.0270326,123628,24.0
1512169424.7395942,123656,24.0
1512170544.38026,123991,25.0
1512171274.9334493,124218,22.0
1512171323.6424801,124233,8.0
1512171459.243753,124277,22.0
1512172166.8972013,124502,24.0
1512172948.6283262,124749,22.0
1512176626.1682446,125901,15.0
1512177426.5262926,126146,11.0
1512178255.9071188,126394,19.0
1512178420.7365613,126447,19.0
1512178776.1968994,126558,11.0
1512179187.02349,126689,17.0
1512179786.2967312,126873,18.0
1512180214.9383028,127001,17.0
1512180384.5545766,127054,12.0
1512180521.3382545,127095,22.0
1512181006.9349499,127244,21.0
1512181114.077981,127276,24.0
1512181317.7831233,127336,24.0
1512181372.4877844,127355,22.0
1512182079.4053156,127572,21.0
1512182701.4979506,127763,22.0
1512183036.3149583,127867,11.0
1512184458.1518943,128313,8.0
1512185410.8512619,128605,36.0
1512185533.4439845,128645,23.0
1512185949.5851483,128777,8.0
1512186236.4260097,128864,37.0
1512186278.7488585,128877,23.0
1512186306.3694704,128885,24.0
1512186563.5584526,128962,21.0
1512186701.3799586,129005,21.0
1512187107.1901355,129131,33.0
1512187932.7523217,129384,24.0
1512188414.8399198,129530,22.0
1512190556.0835712,130162,23.0
1512191268.1765206,130385,35.0
1512193097.5024385,130950,23.0
1512193127.8623657,130961,20.0
1512193691.8062818,131139,22.0
1512193860.5215583,131193,24.0
1512194329.5048409,131335,22.0
1512196964.0450768,132133,19.0
1512197741.13597,132375,24.0
1512197792.7787895,132393,22.0
1512198702.7539032,132664,23.0
1512199064.3939624,132777,24.0
1512199638.647946,132956,24.0
1512199740.879369,132987,20.0
1512199979.2541044,133058,21.0
1512200851.2176075,133320,23.0
1512201325.487985,133466,18.0
1512202537.4032335,133835,23.0
1512202587.95664,133851,12.0
1512202859.3794146,133932,21.0
1512204062.0187402,134311,19.0
1512204145.5103178,134336,23.0
1512204474.5630453,134442,11.0
1512206520.06045,135074,24.0
1512207345.5621579,135333,26.0
1512208397.6223924,135669,16.0
1512208605.2786343,135740,13.0
1512208834.464444,135818,24.0
1512209809.6429167,136133,20.0
1512209830.922491,136138,16.0
1512209874.5579884,136152,22.0
1512210919.0109775,136482,20.0
1512211019.5445917,136515,23.0
1512211633.283649,136712,16.0
1512212339.7679794,136942,23.0
1512212590.5078955,137026,20.0
1512212643.468462,137044,24.0
1512212973.7585216,137147,16.0
1512213870.3180897,137426,23.0
1512215375.1403067,137904,10.0
1512215460.2728415,137932,9.0
1512215731.5804093,138018,19.0
1512216951.8247313,138399,23.0
1512217015.4140973,138421,24.0
1512217935.2496896,138718,19.0
1512218388.0704355,138863,24.0
1512218529.045432,138909,25.0
1512220166.0060205,139435,18.0
1512220290.030394,139475,24.0
1512220315.1955535,139483,23.0
1512220379.9012835,139505,18.0
1512220415.980444,139515,23.0
1512220651.5520034,139591,22.0
1512220754.9010775,139625,38.0
1512221026.709222,139712,34.0
1512221118.9000537,139743,23.0
1512222633.9544408,140210,35.0
1512223383.52902,140449,22.0
1512224130.3696067,140682,23.0
1512226135.20914,141313,23.0
1512226252.2406728,141349,21.0
1512226555.7435694,141446,24.0
1512227240.1460786,141656,17.0
1512227240.3730795,141657,18.0
1512228193.1469684,141956,23.0
1512229000.3366265,142211,24.0
1512229453.1041818,142352,24.0
1512230401.3633618,142646,25.0
1512230885.6079865,142802,33.0
1512231296.2890847,142945,4.0
1512231576.2054722,143031,19.0
1512232216.0111356,143227,40.0
1512232291.2225623,143252,23.0
1512232693.8676333,143377,24.0
1512232913.5180244,143448,23.0
